mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Service de la petite enfance,Association Cheetah-Baby Plage,10300,"$1,561,101",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Agenda 21,Association Fourchette verte,10300,"$2,425,349",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil administratif,Association La Bataille des livres,10300,"$820,451",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Lecture et Compagnie,10300,"$2,608,386",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fondation pour l'avenir,10300,"$2,690,625",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,MJSR-Mouvement de la Jeunesse Suisse Romande,10300,"$2,768,379",Cohésion sociale et solidarité,2,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Agenda 21,Vestiaire social ,10000,"$1,907,650",Cohésion sociale et solidarité,2,10000,10000,10000,10000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Direction cohésion sociale et solidarité,Association Gymnastique Seniors Genève,8400,"$19,127,928",Cohésion sociale et solidarité,2,8400,8400,8400,8400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,"Ass.Ctres d'entraînement aux méthodes d'éducation active, grpt gen.",4600,"$2,204,973",Cohésion sociale et solidarité,2,4600,4600,4600,4600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Fédération des colonies de vacances catholiques romaines du canton de Genève,4100,"$1,977,118",Cohésion sociale et solidarité,2,4100,4100,4100,4100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Fédération des colonies laïques,4100,"$1,273,090",Cohésion sociale et solidarité,2,4100,4100,4100,4100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fédération protestante des colonies de vacances,4100,"$2,183,624",Cohésion sociale et solidarité,2,4100,4100,4100,4100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association genevoise pour vacances familiales,3100,"$600,407",Cohésion sociale et solidarité,2,3100,3100,3100,3100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Activités enfance et jeunesse,478800,"$7,161,618",Cohésion sociale et solidarité,2,478800,478800,598800,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,1
Service culturel,Allocation rentrée scolaire,420000,"$2,362,801",Cohésion sociale et solidarité,2,420000,420000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Délégation Généve Solidaire,Actions sociales ponctuelles,408000,"$4,169,790",Cohésion sociale et solidarité,2,408000,408000,595000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,1
Service culturel,Activités socio-culturelles et activités physiques ludiques,210000,"$1,891,964",Cohésion sociale et solidarité,2,210000,210000,140000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Noctambus,110000,"$2,229,875",Cohésion sociale et solidarité,2,110000,110000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction cohésion sociale et solidarité,Association Ecole des parents,60000,"$1,317,823",Cohésion sociale et solidarité,2,60000,60000,60000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,"Association Mouvement des Aînés, section genevoise",50000,"$2,523,332",Cohésion sociale et solidarité,2,50000,50000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Association Pro Juventute ,50000,"$2,542,792",Cohésion sociale et solidarité,2,50000,50000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Direction cohésion sociale et solidarité,Espace Solidaire Pâquis ,50000,"$587,194",Cohésion sociale et solidarité,2,50000,50000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Ecole de cirque,30000,"$1,720,042",Cohésion sociale et solidarité,2,30000,30000,30000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Fondation Suisse du Service Social International,30000,"$1,378,983",Cohésion sociale et solidarité,2,30000,30000,30000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction sociale,Black Movies,15000,"$1,867,599",Cohésion sociale et solidarité,2,15000,15000,15000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Ecoles et institutions pour l'enfance,Conseil des anciens,12000,"$2,923,610",Cohésion sociale et solidarité,2,12000,12000,5000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Incendie et secours,Part. V.G. aux prolongements horaires TPG lignes urbaines (vendredi-samedi soir),484495,"$2,795,366",Constructions et aménagements,3,484495,484495,454495,472763,"<font size=""4"" style=""color:#7797a3"">▲</font> + 2,4 %",3,3
Service culturel,Maison de l'architecture,20000,"$4,010,710",Constructions et aménagements,3,20000,20000,20000,"18005,7","<font size=""4"" style=""color:#7797a3"">▲</font> + 11 %",3,3
Direction cohésion sociale et solidarité,Association pour la Promotion de l'Art Sacré ,10000,"$2,501,638",Constructions et aménagements,3,10000,10000,0,5000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 100 %",3,2
Direction cohésion sociale et solidarité,Part. V.G. aux frais d'exploitation bus Jonction (ligne 32),320000,"$1,469,077",Constructions et aménagements,3,320000,320000,320000,329375,"<font size=""4"" style=""color:#d7191c"">▼</font> -2,8 %",1,2
Direction de la culture et du sport,Association Handicapés Architecture Urbanisme,15000,"$1,417,750",Constructions et aménagements,3,15000,15000,42400,28345,"<font size=""4"" style=""color:#d7191c"">▼</font> -47 %",1,2
Service des sports,Genèv'Roule,300000,"$1,691,571",Constructions et aménagements,3,300000,300000,300000,300000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fondation des clefs de Saint-Pierre,61900,"$4,503,461",Constructions et aménagements,3,61900,61900,61900,61900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Restauration des édifices cultuels,30000,"$2,595,765",Constructions et aménagements,3,30000,30000,30000,30000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,"Promotion d'expositions, publications architecturales ",18000,"$6,741,260",Constructions et aménagements,3,18000,18000,18000,18000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,1
Direction sociale,Revue Faces,5000,"$1,637,935",Constructions et aménagements,3,5000,5000,0,5000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Service culturel,Ecluse du Seujet ,101000,"$2,738,000",Constructions et aménagements,3,101000,101000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Samedis du vélo,85000,"$2,644,363",Constructions et aménagements,3,85000,85000,85000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction des constructions et de l'aménagement,Ecluse du Seujet ,13000,"$1,826,078",Constructions et aménagements,3,13000,13000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,"Promotion d'expositions, publications architecturales",10000,"$1,707,259",Constructions et aménagements,3,10000,10000,10000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Europan Suisse ,5000,"$1,834,193",Constructions et aménagements,3,5000,5000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Délégation Généve Solidaire,Grand-Théâtre - Exploitation,10720154,"$1,147,494",Culture et sport,4,10720154,10720154,10666819,10700436,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,1 %",3,3
Direction cohésion sociale et solidarité,Fondation St-Gervais,2505000,"$2,288,233",Culture et sport,4,2505000,2505000,2505000,2305000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 8,6 %",3,2
Délégation Généve Solidaire,"Accès à la culture  (théâtres, concerts)",808000,"$1,829,056",Culture et sport,4,808000,808000,780000,15000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 5286,6 %",3,3
Direction cohésion sociale et solidarité,Fonds général livre et édition (voir également groupe 366),731800,"$2,205,004",Culture et sport,4,731800,731800,754300,727670,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,5 %",3,1
Art contemporain,Théâtre du Loup,715500,"$2,843,527",Culture et sport,4,715500,715500,715500,515500,"<font size=""4"" style=""color:#7797a3"">▲</font> + 38,7 %",3,2
Service culturel,Fonds général musique,559000,"$2,419,825",Culture et sport,4,559000,559000,479000,558750,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0 %",3,3
Service culturel,"Lieu d'expositions, le Commun (BAC)",550000,"$2,870,834",Culture et sport,4,550000,550000,550000,532900,"<font size=""4"" style=""color:#7797a3"">▲</font> + 3,2 %",3,2
Ecoles et institutions pour l'enfance,Fonds général pluridisciplinaire,510300,"$2,700,531",Culture et sport,4,510300,510300,460300,505800,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,8 %",3,3
